Sortiernummer,Ebene0 Name,Ebene1 Kode,Ebene1 Name,Ebene 2 Kode,Ebene2 Name,Ebene3 Kode,Ebene3 Name,Ebene4 Kode,Ebene4 Name,Ebene5 Kode,Ebene5 Name,Ebene6 Kode,Ebene6 Name,IRIS Hierarchie Art,IRIS Hierarchie Nr,Kulturkürzel,Code (Antrag),Notiz,Nutzung1 ,Code1,Nutzung2,Code2,Nutzung3,Code3,Nutzung4,Code4,Nutzung5,Code5,Leguminose (ÖVF)
54,Hauptfrucht,NNNVV,Gemüsekulturen,NNNVL,Blatt- und Stielgemüse,BRSOX ,Kohlgemüse,NNNKK,Kopfkohle,BRSOF ,Rosenkohl,BRSOF ,Rosenkohl,,,KOO,610,,,,,,,,,,,,
55,Hauptfrucht,NNNVV,Gemüsekulturen,NNNVL,Blatt- und Stielgemüse,BRSOX ,Kohlgemüse,NNNKK,Kopfkohle,NNNKO,Kopfkohl,BRSOL,Weißkohl,,,KOW,610,,,,,,,,,,,,
56,Hauptfrucht,NNNVV,Gemüsekulturen,NNNVL,Blatt- und Stielgemüse,BRSOX ,Kohlgemüse,NNNKK,Kopfkohle,NNNKO,Kopfkohl,BRSON,Spitzkohl,,,,610,,,,,,,,,,,,
57,Hauptfrucht,NNNVV,Gemüsekulturen,NNNVL,Blatt- und Stielgemüse,BRSOX ,Kohlgemüse,NNNKK,Kopfkohle,NNNKO,Kopfkohl,BRSOR,Rotkohl,,,KOR,610,,,,,,,,,,,,
58,Hauptfrucht,NNNVV,Gemüsekulturen,NNNVL,Blatt- und Stielgemüse,BRSOX ,Kohlgemüse,NNNKK,Kopfkohle,NNNKO,Kopfkohl,BRSOS,Wirsing,,,KOI,610,,,,,,,,,,,,
59,Hauptfrucht,NNNVV,Gemüsekulturen,NNNVL,Blatt- und Stielgemüse,BRSOX ,Kohlgemüse,NNNKL,Blumenkohle,BRSOB,Blumenkohl,BRSOB,Blumenkohl,,,KOB,610,,,,,,,,,,,,
60,Hauptfrucht,NNNVV,Gemüsekulturen,NNNVL,Blatt- und Stielgemüse,BRSOX ,Kohlgemüse,NNNKL,Blumenkohle,BRSOK,Brokkoli,BRSOK,Brokkoli,,,BRO,610,,,,,,,,,,,,
61,Hauptfrucht,NNNVV,Gemüsekulturen,NNNVL,Blatt- und Stielgemüse,BRSOX ,Kohlgemüse,BRSOG,Kohlrabi,BRSOG,Kohlrabi,BRSOG,Kohlrabi,,,KOK,610,,,,,,,,,,,,
62,Hauptfrucht,NNNVV,Gemüsekulturen,NNNVW,Wurzel- und Knollengemüse,DAUCS,Möhre,DAUCS,Möhre,DAUCS,Möhre,DAUCS,Möhre,,,MOG,610,,,,,,,,,,,,
63,Hauptfrucht,NNNVV,Gemüsekulturen,NNNVW,Wurzel- und Knollengemüse,APUGR,Knollensellerie,APUGR,Knollensellerie,APUGR,Knollensellerie,APUGR,Knollensellerie,,,SEK,610,,,,,,,,,,,,
